HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals
France,Mexico,1930,4,1
Uruguay,Argentina,1930,4,2
Uruguay,Yugoslavia,1930,6,1
Argentina,United States,1930,6,1
Paraguay,Belgium,1930,1,0
United States,Paraguay,1930,3,0
Uruguay,Romania,1930,4,0
Uruguay,Peru,1930,1,0
Romania,Peru,1930,3,1
United States,Belgium,1930,3,0
Yugoslavia,Bolivia,1930,4,0
Yugoslavia,Brazil,1930,2,1
Argentina,Chile,1930,3,1
Argentina,Mexico,1930,6,3
Chile,France,1930,1,0
Chile,Mexico,1930,3,0
Argentina,France,1930,1,0
Brazil,Bolivia,1930,4,0
Italy,Spain,1934,1,1
Italy,Czechoslovakia,1934,2,1
Germany,Austria,1934,3,2
Italy,Austria,1934,1,0
Italy,Spain,1934,1,0
Czechoslovakia,Switzerland,1934,3,2
Germany,Sweden,1934,2,1
Austria,Hungary,1934,2,1
Czechoslovakia,Germany,1934,3,1
Austria,France,1934,3,2
Sweden,Argentina,1934,3,2
Czechoslovakia,Romania,1934,2,1
Italy,United States,1934,7,1
Switzerland,Netherlands,1934,3,2
Hungary,Egypt,1934,4,2
Spain,Brazil,1934,3,1
Germany,Belgium,1934,5,2
Sweden,Cuba,1938,8,0
Italy,France,1938,3,1
Brazil,Czechoslovakia,1938,1,1
Brazil,Sweden,1938,4,2
Hungary,Sweden,1938,5,1
Italy,Brazil,1938,2,1
Italy,Hungary,1938,4,2
Brazil,Czechoslovakia,1938,2,1
Cuba,Romania,1938,2,1
Hungary,Switzerland,1938,2,0
Czechoslovakia,Netherlands,1938,3,0
Brazil,Poland,1938,6,5
Italy,Norway,1938,2,1
France,Belgium,1938,3,1
Cuba,Romania,1938,3,3
Hungary,Dutch East Indies,1938,6,0
Switzerland,Germany,1938,1,1
Switzerland,Germany,1938,4,2
Sweden,Paraguay,1950,2,2
Italy,Paraguay,1950,2,0
Uruguay,Bolivia,1950,8,0
Uruguay,Spain,1950,2,2
Uruguay,Brazil,1950,2,1
Brazil,Spain,1950,6,1
Uruguay,Sweden,1950,3,2
Sweden,Spain,1950,3,1
Sweden,Italy,1950,3,2
Brazil,Sweden,1950,7,1
Chile,United States,1950,5,2
Switzerland,Mexico,1950,2,1
United States,England,1950,1,0
Spain,Chile,1950,2,0
Spain,United States,1950,3,1
England,Chile,1950,2,0
Brazil,Yugoslavia,1950,2,0
Yugoslavia,Mexico,1950,4,1
Brazil,Switzerland,1950,2,2
Yugoslavia,Switzerland,1950,3,0
Brazil,Mexico,1950,4,0
Spain,England,1950,1,0
Italy,Belgium,1954,4,1
Switzerland,Italy,1954,4,1
Austria,Switzerland,1954,7,5
Uruguay,England,1954,4,2
Austria,Uruguay,1954,3,1
Hungary,Brazil,1954,4,2
West Germany,Austria,1954,6,1
Hungary,Uruguay,1954,4,2
England,Belgium,1954,4,4
West Germany,Hungary,1954,3,2
